Position,Candidate,Website ,Vendor,Payment ,Source
MAYOR,Bliss,www.doctorblissformayor.com,,,
MAYOR,Dennison,,,,
MAYOR,Donaldson,https://teamdonaldson.org/,Ab Hays,1500,https://www.pdc.wa.gov/browse/campaign-explorer/candidate?filer_id=DONAJ%20%20199&election_year=2021
MAYOR,Echohawk,https://www.echohawkforseattle.com/,Upper Left Strategies,2000,web6.seattle.gov/ethics/elections/poplist.aspx?cid=749&listtype=vendors
MAYOR,Farrell,jessynformayor.com,Left Wing Digital LLC,1500,
MAYOR,Gonzalez,lorenaforseattle.com,,,web6.seattle.gov/ethics/elections/poplist.aspx?cid=758&listtype=vendors
MAYOR,Harrell,bruceforseattle.com,NWP Consulting,2875,web6.seattle.gov/ethics/elections/poplist.aspx?cid=774&listtype=vendors
MAYOR,Houston,www.agh4sea.com,,,web6.seattle.gov/ethics/elections/poplist.aspx?cid=748&listtype=vendors
MAYOR,Langile,,,,
MAYOR,Lippmann,Lippmann has not yet provided more information on his platform; the link to his current campaign site is broken.,,,
MAYOR,Randall,https://lancerandall2021.com/,Goodbrand ,5000,web6.seattle.gov/ethics/elections/poplist.aspx?cid=729&listtype=vendors
MAYOR,Rivers,https://www.donlrivers.com/,,,
MAYOR,Sixkiller,sixkillerforseattle.com,Bryson Gilette,10000,
MAYOR,Tahir-Garrett,,,,
MAYOR,Tucker,http://bobbyjtucker.com/,,,Weebly template that isn't complete
City Attorney,Davison,,,,
City Attorney,Holmes,holmesforseattle.com,NWP Consulting ,1650,
City Attorney,Thomas-Kennedy,https://ntk4justice.com/,,,
City Council 8,Fahey,,,,
City Council 8,Fisher,,,,
City Council 8,Glumaz,https://www.glumazforseattlecitycouncil.org/,,,
City Council 8,James,,,,
City Council 8,Martin,https://electkatemartin.com/,Self developed w/ themes,,
City Council 8,Miller,,,,
City Council 8,Mosqueda,teamteresa.org,NWP Consulting,1432 + 632,web6.seattle.gov/ethics/elections/poplist.aspx?cid=747&listtype=vendors
City Council 8,Tsimerman,AlexforAmerica.com,,,
City Council 8,White ,,,,
City Council 8,Wilson,,,,
City Council 9,Echner,https://coreyeichner.com/,,,
City Council 9,Gunther,https://www.xtiangunther.com/,,,
City Council 9,McHaffle,,,,
City Council 9,Nelson,https://www.saraforcitycouncil.com/issues,,,
City Council 9,Oliver,https://nikkitafornine.com/,Mariahlyn Okuna,722.54,web6.seattle.gov/ethics/elections/poplist.aspx?cid=773&listtype=vendors
City Council 9,Thomas ,peopleforbrianna.org,Upper Left,1500,web6.seattle.gov/ethics/elections/poplist.aspx?cid=770&listtype=vendors
City Council 9,Williamson ,,,,