,Position,Candidate,Website,Vendor,Payment,Violation #,Description,Help,HelpUrl,Id,Impact,Tags,Website 
0,Bliss,Bliss,,,,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']",www.doctorblissformayor.com
1,Bliss,Bliss,,,,2,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",www.doctorblissformayor.com
2,Bliss,Bliss,,,,3,Ensures every id attribute value is unique,id attribute value must be unique,https://dequeuniversity.com/rules/axe/3.1/duplicate-id?application=axeAPI,duplicate-id,minor,"['cat.parsing', 'wcag2a', 'wcag411']",www.doctorblissformayor.com
3,Bliss,Bliss,,,,4,Ensures <iframe> and <frame> elements contain a non-empty title attribute,Frames must have title attribute,https://dequeuniversity.com/rules/axe/3.1/frame-title?application=axeAPI,frame-title,serious,"['cat.text-alternatives', 'wcag2a', 'wcag241', 'wcag412', 'section508', 'section508.22.i']",www.doctorblissformayor.com
4,Bliss,Bliss,,,,5,Ensures every form element has a label,Form elements must have labels,https://dequeuniversity.com/rules/axe/3.1/label?application=axeAPI,label,critical,"['cat.forms', 'wcag2a', 'wcag332', 'wcag131', 'section508', 'section508.22.n']",www.doctorblissformayor.com
5,Bliss,Bliss,,,,6,Ensures the page has only one main landmark and each iframe in the page has at most one main landmark,Page must have one main landmark,https://dequeuniversity.com/rules/axe/3.1/landmark-one-main?application=axeAPI,landmark-one-main,moderate,"['cat.semantics', 'best-practice']",www.doctorblissformayor.com
6,Bliss,Bliss,,,,7,Ensures that lists are structured correctly,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/3.1/list?application=axeAPI,list,serious,"['cat.structure', 'wcag2a', 'wcag131']",www.doctorblissformayor.com
7,Bliss,Bliss,,,,8,"Ensure that the page, or at least one of its frames contains a level-one heading",Page must contain a level-one heading,https://dequeuniversity.com/rules/axe/3.1/page-has-heading-one?application=axeAPI,page-has-heading-one,moderate,"['cat.semantics', 'best-practice']",www.doctorblissformayor.com
8,Bliss,Bliss,,,,9,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",www.doctorblissformayor.com
9,Donaldson,Donaldson,Ab Hays,,,1,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",https://teamdonaldson.org/
10,Donaldson,Donaldson,Ab Hays,,,2,Ensures every id attribute value is unique,id attribute value must be unique,https://dequeuniversity.com/rules/axe/3.1/duplicate-id?application=axeAPI,duplicate-id,minor,"['cat.parsing', 'wcag2a', 'wcag411']",https://teamdonaldson.org/
11,Donaldson,Donaldson,Ab Hays,,,3,Ensures <iframe> and <frame> elements contain a non-empty title attribute,Frames must have title attribute,https://dequeuniversity.com/rules/axe/3.1/frame-title?application=axeAPI,frame-title,serious,"['cat.text-alternatives', 'wcag2a', 'wcag241', 'wcag412', 'section508', 'section508.22.i']",https://teamdonaldson.org/
12,Donaldson,Donaldson,Ab Hays,,,4,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/3.1/heading-order?application=axeAPI,heading-order,moderate,"['cat.semantics', 'best-practice']",https://teamdonaldson.org/
13,Donaldson,Donaldson,Ab Hays,,,5,Ensures that every form element is not solely labeled using the title or aria-describedby attributes,Form elements should have a visible label,https://dequeuniversity.com/rules/axe/3.1/label-title-only?application=axeAPI,label-title-only,serious,"['cat.forms', 'best-practice']",https://teamdonaldson.org/
14,Donaldson,Donaldson,Ab Hays,,,6,Ensures the page has only one main landmark and each iframe in the page has at most one main landmark,Page must have one main landmark,https://dequeuniversity.com/rules/axe/3.1/landmark-one-main?application=axeAPI,landmark-one-main,moderate,"['cat.semantics', 'best-practice']",https://teamdonaldson.org/
15,Donaldson,Donaldson,Ab Hays,,,7,Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/3.1/link-name?application=axeAPI,link-name,serious,"['cat.name-role-value', 'wcag2a', 'wcag412', 'wcag244', 'section508', 'section508.22.a']",https://teamdonaldson.org/
16,Donaldson,Donaldson,Ab Hays,,,8,"Ensures <meta name=""viewport""> does not disable text scaling and zooming",Zooming and scaling must not be disabled,https://dequeuniversity.com/rules/axe/3.1/meta-viewport?application=axeAPI,meta-viewport,critical,"['cat.sensory-and-visual-cues', 'wcag2aa', 'wcag144']",https://teamdonaldson.org/
17,Donaldson,Donaldson,Ab Hays,,,9,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",https://teamdonaldson.org/
18,Donaldson,Donaldson,Ab Hays,,,10,Ensure all skip links have a focusable target,The skip-link target should exist and be focusable,https://dequeuniversity.com/rules/axe/3.1/skip-link?application=axeAPI,skip-link,moderate,"['cat.keyboard', 'best-practice']",https://teamdonaldson.org/
19,Echohawk,Echohawk,Upper Left Strategies,,,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']",https://www.echohawkforseattle.com/
20,Echohawk,Echohawk,Upper Left Strategies,,,2,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",https://www.echohawkforseattle.com/
21,Echohawk,Echohawk,Upper Left Strategies,,,3,Ensures <iframe> and <frame> elements contain a non-empty title attribute,Frames must have title attribute,https://dequeuniversity.com/rules/axe/3.1/frame-title?application=axeAPI,frame-title,serious,"['cat.text-alternatives', 'wcag2a', 'wcag241', 'wcag412', 'section508', 'section508.22.i']",https://www.echohawkforseattle.com/
22,Echohawk,Echohawk,Upper Left Strategies,,,4,"Ensure that the page, or at least one of its frames contains a level-one heading",Page must contain a level-one heading,https://dequeuniversity.com/rules/axe/3.1/page-has-heading-one?application=axeAPI,page-has-heading-one,moderate,"['cat.semantics', 'best-practice']",https://www.echohawkforseattle.com/
23,Echohawk,Echohawk,Upper Left Strategies,,,5,Ensures tabindex attribute values are not greater than 0,Elements should not have tabindex greater than zero,https://dequeuniversity.com/rules/axe/3.1/tabindex?application=axeAPI,tabindex,serious,"['cat.keyboard', 'best-practice']",https://www.echohawkforseattle.com/
24,Farrell,Farrell,Left Wing Digital LLC,,,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']",jessynformayor.com
25,Farrell,Farrell,Left Wing Digital LLC,,,2,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",jessynformayor.com
26,Farrell,Farrell,Left Wing Digital LLC,,,3,Ensures <iframe> and <frame> elements contain a non-empty title attribute,Frames must have title attribute,https://dequeuniversity.com/rules/axe/3.1/frame-title?application=axeAPI,frame-title,serious,"['cat.text-alternatives', 'wcag2a', 'wcag241', 'wcag412', 'section508', 'section508.22.i']",jessynformayor.com
27,Farrell,Farrell,Left Wing Digital LLC,,,4,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",jessynformayor.com
28,Gonzalez,Gonzalez,,,,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']",lorenaforseattle.com
29,Gonzalez,Gonzalez,,,,2,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",lorenaforseattle.com
30,Gonzalez,Gonzalez,,,,3,Ensures the page has only one main landmark and each iframe in the page has at most one main landmark,Page must have one main landmark,https://dequeuniversity.com/rules/axe/3.1/landmark-one-main?application=axeAPI,landmark-one-main,moderate,"['cat.semantics', 'best-practice']",lorenaforseattle.com
31,Gonzalez,Gonzalez,,,,4,Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/3.1/link-name?application=axeAPI,link-name,serious,"['cat.name-role-value', 'wcag2a', 'wcag412', 'wcag244', 'section508', 'section508.22.a']",lorenaforseattle.com
32,Gonzalez,Gonzalez,,,,5,"Ensure that the page, or at least one of its frames contains a level-one heading",Page must contain a level-one heading,https://dequeuniversity.com/rules/axe/3.1/page-has-heading-one?application=axeAPI,page-has-heading-one,moderate,"['cat.semantics', 'best-practice']",lorenaforseattle.com
33,Gonzalez,Gonzalez,,,,6,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",lorenaforseattle.com
34,Harrell,Harrell,NWP Consulting,,,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']",bruceforseattle.com
35,Harrell,Harrell,NWP Consulting,,,2,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",bruceforseattle.com
36,Harrell,Harrell,NWP Consulting,,,3,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/3.1/heading-order?application=axeAPI,heading-order,moderate,"['cat.semantics', 'best-practice']",bruceforseattle.com
37,Harrell,Harrell,NWP Consulting,,,4,Ensures <img> elements have alternate text or a role of none or presentation,Images must have alternate text,https://dequeuniversity.com/rules/axe/3.1/image-alt?application=axeAPI,image-alt,critical,"['cat.text-alternatives', 'wcag2a', 'wcag111', 'section508', 'section508.22.a']",bruceforseattle.com
38,Harrell,Harrell,NWP Consulting,,,5,Ensures every form element has a label,Form elements must have labels,https://dequeuniversity.com/rules/axe/3.1/label?application=axeAPI,label,critical,"['cat.forms', 'wcag2a', 'wcag332', 'wcag131', 'section508', 'section508.22.n']",bruceforseattle.com
39,Harrell,Harrell,NWP Consulting,,,6,Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/3.1/link-name?application=axeAPI,link-name,serious,"['cat.name-role-value', 'wcag2a', 'wcag412', 'wcag244', 'section508', 'section508.22.a']",bruceforseattle.com
40,Harrell,Harrell,NWP Consulting,,,7,"Ensure that the page, or at least one of its frames contains a level-one heading",Page must contain a level-one heading,https://dequeuniversity.com/rules/axe/3.1/page-has-heading-one?application=axeAPI,page-has-heading-one,moderate,"['cat.semantics', 'best-practice']",bruceforseattle.com
41,Harrell,Harrell,NWP Consulting,,,8,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",bruceforseattle.com
42,Houston,Houston,,,,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']",www.agh4sea.com
43,Houston,Houston,,,,2,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",www.agh4sea.com
44,Houston,Houston,,,,3,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/3.1/heading-order?application=axeAPI,heading-order,moderate,"['cat.semantics', 'best-practice']",www.agh4sea.com
45,Houston,Houston,,,,4,Ensures <img> elements have alternate text or a role of none or presentation,Images must have alternate text,https://dequeuniversity.com/rules/axe/3.1/image-alt?application=axeAPI,image-alt,critical,"['cat.text-alternatives', 'wcag2a', 'wcag111', 'section508', 'section508.22.a']",www.agh4sea.com
46,Houston,Houston,,,,5,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",www.agh4sea.com
47,Houston,Houston,,,,6,Ensures tabindex attribute values are not greater than 0,Elements should not have tabindex greater than zero,https://dequeuniversity.com/rules/axe/3.1/tabindex?application=axeAPI,tabindex,serious,"['cat.keyboard', 'best-practice']",www.agh4sea.com
48,Bliss,Bliss,,,,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']",www.doctorblissformayor.com
49,Bliss,Bliss,,,,2,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",www.doctorblissformayor.com
50,Bliss,Bliss,,,,3,Ensures every id attribute value is unique,id attribute value must be unique,https://dequeuniversity.com/rules/axe/3.1/duplicate-id?application=axeAPI,duplicate-id,minor,"['cat.parsing', 'wcag2a', 'wcag411']",www.doctorblissformayor.com
51,Bliss,Bliss,,,,4,Ensures <iframe> and <frame> elements contain a non-empty title attribute,Frames must have title attribute,https://dequeuniversity.com/rules/axe/3.1/frame-title?application=axeAPI,frame-title,serious,"['cat.text-alternatives', 'wcag2a', 'wcag241', 'wcag412', 'section508', 'section508.22.i']",www.doctorblissformayor.com
52,Bliss,Bliss,,,,5,Ensures every form element has a label,Form elements must have labels,https://dequeuniversity.com/rules/axe/3.1/label?application=axeAPI,label,critical,"['cat.forms', 'wcag2a', 'wcag332', 'wcag131', 'section508', 'section508.22.n']",www.doctorblissformayor.com
53,Bliss,Bliss,,,,6,Ensures the page has only one main landmark and each iframe in the page has at most one main landmark,Page must have one main landmark,https://dequeuniversity.com/rules/axe/3.1/landmark-one-main?application=axeAPI,landmark-one-main,moderate,"['cat.semantics', 'best-practice']",www.doctorblissformayor.com
54,Bliss,Bliss,,,,7,Ensures that lists are structured correctly,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/3.1/list?application=axeAPI,list,serious,"['cat.structure', 'wcag2a', 'wcag131']",www.doctorblissformayor.com
55,Bliss,Bliss,,,,8,"Ensure that the page, or at least one of its frames contains a level-one heading",Page must contain a level-one heading,https://dequeuniversity.com/rules/axe/3.1/page-has-heading-one?application=axeAPI,page-has-heading-one,moderate,"['cat.semantics', 'best-practice']",www.doctorblissformayor.com
56,Bliss,Bliss,,,,9,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",www.doctorblissformayor.com
57,Donaldson,Donaldson,Ab Hays,,,1,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",https://teamdonaldson.org/
58,Donaldson,Donaldson,Ab Hays,,,2,Ensures every id attribute value is unique,id attribute value must be unique,https://dequeuniversity.com/rules/axe/3.1/duplicate-id?application=axeAPI,duplicate-id,minor,"['cat.parsing', 'wcag2a', 'wcag411']",https://teamdonaldson.org/
59,Donaldson,Donaldson,Ab Hays,,,3,Ensures <iframe> and <frame> elements contain a non-empty title attribute,Frames must have title attribute,https://dequeuniversity.com/rules/axe/3.1/frame-title?application=axeAPI,frame-title,serious,"['cat.text-alternatives', 'wcag2a', 'wcag241', 'wcag412', 'section508', 'section508.22.i']",https://teamdonaldson.org/
60,Donaldson,Donaldson,Ab Hays,,,4,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/3.1/heading-order?application=axeAPI,heading-order,moderate,"['cat.semantics', 'best-practice']",https://teamdonaldson.org/
61,Donaldson,Donaldson,Ab Hays,,,5,Ensures that every form element is not solely labeled using the title or aria-describedby attributes,Form elements should have a visible label,https://dequeuniversity.com/rules/axe/3.1/label-title-only?application=axeAPI,label-title-only,serious,"['cat.forms', 'best-practice']",https://teamdonaldson.org/
62,Donaldson,Donaldson,Ab Hays,,,6,Ensures the page has only one main landmark and each iframe in the page has at most one main landmark,Page must have one main landmark,https://dequeuniversity.com/rules/axe/3.1/landmark-one-main?application=axeAPI,landmark-one-main,moderate,"['cat.semantics', 'best-practice']",https://teamdonaldson.org/
63,Donaldson,Donaldson,Ab Hays,,,7,Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/3.1/link-name?application=axeAPI,link-name,serious,"['cat.name-role-value', 'wcag2a', 'wcag412', 'wcag244', 'section508', 'section508.22.a']",https://teamdonaldson.org/
64,Donaldson,Donaldson,Ab Hays,,,8,"Ensures <meta name=""viewport""> does not disable text scaling and zooming",Zooming and scaling must not be disabled,https://dequeuniversity.com/rules/axe/3.1/meta-viewport?application=axeAPI,meta-viewport,critical,"['cat.sensory-and-visual-cues', 'wcag2aa', 'wcag144']",https://teamdonaldson.org/
65,Donaldson,Donaldson,Ab Hays,,,9,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",https://teamdonaldson.org/
66,Donaldson,Donaldson,Ab Hays,,,10,Ensure all skip links have a focusable target,The skip-link target should exist and be focusable,https://dequeuniversity.com/rules/axe/3.1/skip-link?application=axeAPI,skip-link,moderate,"['cat.keyboard', 'best-practice']",https://teamdonaldson.org/
67,Echohawk,Echohawk,Upper Left Strategies,,,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']",https://www.echohawkforseattle.com/
68,Echohawk,Echohawk,Upper Left Strategies,,,2,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",https://www.echohawkforseattle.com/
69,Echohawk,Echohawk,Upper Left Strategies,,,3,Ensures <iframe> and <frame> elements contain a non-empty title attribute,Frames must have title attribute,https://dequeuniversity.com/rules/axe/3.1/frame-title?application=axeAPI,frame-title,serious,"['cat.text-alternatives', 'wcag2a', 'wcag241', 'wcag412', 'section508', 'section508.22.i']",https://www.echohawkforseattle.com/
70,Echohawk,Echohawk,Upper Left Strategies,,,4,"Ensure that the page, or at least one of its frames contains a level-one heading",Page must contain a level-one heading,https://dequeuniversity.com/rules/axe/3.1/page-has-heading-one?application=axeAPI,page-has-heading-one,moderate,"['cat.semantics', 'best-practice']",https://www.echohawkforseattle.com/
