,Position,Candidate,Website,Vendor,Payment,Violation #,Description,Help,HelpUrl,Id,Impact,Tags,Website 
143,Randall,Randall,Goodbrand ,,,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']",https://lancerandall2021.com/
144,Randall,Randall,Goodbrand ,,,2,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",https://lancerandall2021.com/
145,Randall,Randall,Goodbrand ,,,3,Ensures every id attribute value used in ARIA and in labels is unique,IDs used in ARIA and labels must be unique,https://dequeuniversity.com/rules/axe/3.1/duplicate-id-aria?application=axeAPI,duplicate-id-aria,critical,"['cat.parsing', 'wcag2a', 'wcag411']",https://lancerandall2021.com/
146,Randall,Randall,Goodbrand ,,,4,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/3.1/heading-order?application=axeAPI,heading-order,moderate,"['cat.semantics', 'best-practice']",https://lancerandall2021.com/
147,Randall,Randall,Goodbrand ,,,5,Ensures every form element has a label,Form elements must have labels,https://dequeuniversity.com/rules/axe/3.1/label?application=axeAPI,label,critical,"['cat.forms', 'wcag2a', 'wcag332', 'wcag131', 'section508', 'section508.22.n']",https://lancerandall2021.com/
148,Randall,Randall,Goodbrand ,,,6,Ensures the page has only one main landmark and each iframe in the page has at most one main landmark,Page must have one main landmark,https://dequeuniversity.com/rules/axe/3.1/landmark-one-main?application=axeAPI,landmark-one-main,moderate,"['cat.semantics', 'best-practice']",https://lancerandall2021.com/
149,Randall,Randall,Goodbrand ,,,7,Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/3.1/link-name?application=axeAPI,link-name,serious,"['cat.name-role-value', 'wcag2a', 'wcag412', 'wcag244', 'section508', 'section508.22.a']",https://lancerandall2021.com/
150,Randall,Randall,Goodbrand ,,,8,"Ensure that the page, or at least one of its frames contains a level-one heading",Page must contain a level-one heading,https://dequeuniversity.com/rules/axe/3.1/page-has-heading-one?application=axeAPI,page-has-heading-one,moderate,"['cat.semantics', 'best-practice']",https://lancerandall2021.com/
151,Randall,Randall,Goodbrand ,,,9,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",https://lancerandall2021.com/
152,Rivers,Rivers,,,,1,Ensures buttons have discernible text,Buttons must have discernible text,https://dequeuniversity.com/rules/axe/3.1/button-name?application=axeAPI,button-name,critical,"['cat.name-role-value', 'wcag2a', 'wcag412', 'section508', 'section508.22.a']",https://www.donlrivers.com/
153,Rivers,Rivers,,,,2,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",https://www.donlrivers.com/
154,Rivers,Rivers,,,,3,Ensures every form element has a label,Form elements must have labels,https://dequeuniversity.com/rules/axe/3.1/label?application=axeAPI,label,critical,"['cat.forms', 'wcag2a', 'wcag332', 'wcag131', 'section508', 'section508.22.n']",https://www.donlrivers.com/
155,Rivers,Rivers,,,,4,Ensures the page has only one main landmark and each iframe in the page has at most one main landmark,Page must have one main landmark,https://dequeuniversity.com/rules/axe/3.1/landmark-one-main?application=axeAPI,landmark-one-main,moderate,"['cat.semantics', 'best-practice']",https://www.donlrivers.com/
156,Rivers,Rivers,,,,5,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",https://www.donlrivers.com/
157,Sixkiller,Sixkiller,Bryson Gilette,,,1,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",sixkillerforseattle.com
158,Sixkiller,Sixkiller,Bryson Gilette,,,2,Ensures every id attribute value is unique,id attribute value must be unique,https://dequeuniversity.com/rules/axe/3.1/duplicate-id?application=axeAPI,duplicate-id,minor,"['cat.parsing', 'wcag2a', 'wcag411']",sixkillerforseattle.com
159,Sixkiller,Sixkiller,Bryson Gilette,,,3,Ensures headings have discernible text,Headings must not be empty,https://dequeuniversity.com/rules/axe/3.1/empty-heading?application=axeAPI,empty-heading,minor,"['cat.name-role-value', 'best-practice']",sixkillerforseattle.com
160,Sixkiller,Sixkiller,Bryson Gilette,,,4,Ensures <iframe> and <frame> elements contain a non-empty title attribute,Frames must have title attribute,https://dequeuniversity.com/rules/axe/3.1/frame-title?application=axeAPI,frame-title,serious,"['cat.text-alternatives', 'wcag2a', 'wcag241', 'wcag412', 'section508', 'section508.22.i']",sixkillerforseattle.com
161,Sixkiller,Sixkiller,Bryson Gilette,,,5,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/3.1/heading-order?application=axeAPI,heading-order,moderate,"['cat.semantics', 'best-practice']",sixkillerforseattle.com
162,Sixkiller,Sixkiller,Bryson Gilette,,,6,Ensures that every form element is not solely labeled using the title or aria-describedby attributes,Form elements should have a visible label,https://dequeuniversity.com/rules/axe/3.1/label-title-only?application=axeAPI,label-title-only,serious,"['cat.forms', 'best-practice']",sixkillerforseattle.com
163,Sixkiller,Sixkiller,Bryson Gilette,,,7,Ensures every form element has a label,Form elements must have labels,https://dequeuniversity.com/rules/axe/3.1/label?application=axeAPI,label,critical,"['cat.forms', 'wcag2a', 'wcag332', 'wcag131', 'section508', 'section508.22.n']",sixkillerforseattle.com
164,Sixkiller,Sixkiller,Bryson Gilette,,,8,Ensures the page has only one main landmark and each iframe in the page has at most one main landmark,Page must have one main landmark,https://dequeuniversity.com/rules/axe/3.1/landmark-one-main?application=axeAPI,landmark-one-main,moderate,"['cat.semantics', 'best-practice']",sixkillerforseattle.com
165,Sixkiller,Sixkiller,Bryson Gilette,,,9,"Ensures <meta name=""viewport""> does not disable text scaling and zooming",Zooming and scaling must not be disabled,https://dequeuniversity.com/rules/axe/3.1/meta-viewport?application=axeAPI,meta-viewport,critical,"['cat.sensory-and-visual-cues', 'wcag2aa', 'wcag144']",sixkillerforseattle.com
166,Sixkiller,Sixkiller,Bryson Gilette,,,10,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",sixkillerforseattle.com
167,Tucker,Tucker,,,,1,Ensures <iframe> and <frame> elements contain a non-empty title attribute,Frames must have title attribute,https://dequeuniversity.com/rules/axe/3.1/frame-title?application=axeAPI,frame-title,serious,"['cat.text-alternatives', 'wcag2a', 'wcag241', 'wcag412', 'section508', 'section508.22.i']",http://bobbyjtucker.com/
168,Tucker,Tucker,,,,2,Ensures every HTML document has a lang attribute,<html> element must have a lang attribute,https://dequeuniversity.com/rules/axe/3.1/html-has-lang?application=axeAPI,html-has-lang,serious,"['cat.language', 'wcag2a', 'wcag311']",http://bobbyjtucker.com/
169,Tucker,Tucker,,,,3,Ensures the page has only one main landmark and each iframe in the page has at most one main landmark,Page must have one main landmark,https://dequeuniversity.com/rules/axe/3.1/landmark-one-main?application=axeAPI,landmark-one-main,moderate,"['cat.semantics', 'best-practice']",http://bobbyjtucker.com/
170,Tucker,Tucker,,,,4,"Ensure that the page, or at least one of its frames contains a level-one heading",Page must contain a level-one heading,https://dequeuniversity.com/rules/axe/3.1/page-has-heading-one?application=axeAPI,page-has-heading-one,moderate,"['cat.semantics', 'best-practice']",http://bobbyjtucker.com/
171,Holmes,Holmes,NWP Consulting ,,,1,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",holmesforseattle.com
172,Holmes,Holmes,NWP Consulting ,,,2,"Ensure that the page, or at least one of its frames contains a level-one heading",Page must contain a level-one heading,https://dequeuniversity.com/rules/axe/3.1/page-has-heading-one?application=axeAPI,page-has-heading-one,moderate,"['cat.semantics', 'best-practice']",holmesforseattle.com
173,Holmes,Holmes,NWP Consulting ,,,3,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",holmesforseattle.com
174,Thomas-Kennedy,Thomas-Kennedy,,,,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']",https://ntk4justice.com/
175,Thomas-Kennedy,Thomas-Kennedy,,,,2,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",https://ntk4justice.com/
176,Thomas-Kennedy,Thomas-Kennedy,,,,3,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/3.1/heading-order?application=axeAPI,heading-order,moderate,"['cat.semantics', 'best-practice']",https://ntk4justice.com/
177,Thomas-Kennedy,Thomas-Kennedy,,,,4,Ensures tabindex attribute values are not greater than 0,Elements should not have tabindex greater than zero,https://dequeuniversity.com/rules/axe/3.1/tabindex?application=axeAPI,tabindex,serious,"['cat.keyboard', 'best-practice']",https://ntk4justice.com/
178,Glumaz,Glumaz,,,,1,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",https://www.glumazforseattlecitycouncil.org/
179,Glumaz,Glumaz,,,,2,Ensures every id attribute value is unique,id attribute value must be unique,https://dequeuniversity.com/rules/axe/3.1/duplicate-id?application=axeAPI,duplicate-id,minor,"['cat.parsing', 'wcag2a', 'wcag411']",https://www.glumazforseattlecitycouncil.org/
180,Glumaz,Glumaz,,,,3,Ensures the page has only one main landmark and each iframe in the page has at most one main landmark,Page must have one main landmark,https://dequeuniversity.com/rules/axe/3.1/landmark-one-main?application=axeAPI,landmark-one-main,moderate,"['cat.semantics', 'best-practice']",https://www.glumazforseattlecitycouncil.org/
181,Glumaz,Glumaz,,,,4,"Ensure that the page, or at least one of its frames contains a level-one heading",Page must contain a level-one heading,https://dequeuniversity.com/rules/axe/3.1/page-has-heading-one?application=axeAPI,page-has-heading-one,moderate,"['cat.semantics', 'best-practice']",https://www.glumazforseattlecitycouncil.org/
182,Glumaz,Glumaz,,,,5,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",https://www.glumazforseattlecitycouncil.org/
183,Martin,Martin,Self developed w/ themes,,,1,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",https://electkatemartin.com/
184,Martin,Martin,Self developed w/ themes,,,2,Ensures every id attribute value is unique,id attribute value must be unique,https://dequeuniversity.com/rules/axe/3.1/duplicate-id?application=axeAPI,duplicate-id,minor,"['cat.parsing', 'wcag2a', 'wcag411']",https://electkatemartin.com/
185,Martin,Martin,Self developed w/ themes,,,3,Ensures headings have discernible text,Headings must not be empty,https://dequeuniversity.com/rules/axe/3.1/empty-heading?application=axeAPI,empty-heading,minor,"['cat.name-role-value', 'best-practice']",https://electkatemartin.com/
186,Martin,Martin,Self developed w/ themes,,,4,Ensures the page has only one main landmark and each iframe in the page has at most one main landmark,Page must have one main landmark,https://dequeuniversity.com/rules/axe/3.1/landmark-one-main?application=axeAPI,landmark-one-main,moderate,"['cat.semantics', 'best-practice']",https://electkatemartin.com/
187,Martin,Martin,Self developed w/ themes,,,5,Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/3.1/link-name?application=axeAPI,link-name,serious,"['cat.name-role-value', 'wcag2a', 'wcag412', 'wcag244', 'section508', 'section508.22.a']",https://electkatemartin.com/
188,Martin,Martin,Self developed w/ themes,,,6,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",https://electkatemartin.com/
189,Mosqueda,Mosqueda,NWP Consulting,,,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']",teamteresa.org
190,Mosqueda,Mosqueda,NWP Consulting,,,2,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",teamteresa.org
191,Mosqueda,Mosqueda,NWP Consulting,,,3,Ensures every id attribute value is unique,id attribute value must be unique,https://dequeuniversity.com/rules/axe/3.1/duplicate-id?application=axeAPI,duplicate-id,minor,"['cat.parsing', 'wcag2a', 'wcag411']",teamteresa.org
192,Mosqueda,Mosqueda,NWP Consulting,,,4,Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/3.1/link-name?application=axeAPI,link-name,serious,"['cat.name-role-value', 'wcag2a', 'wcag412', 'wcag244', 'section508', 'section508.22.a']",teamteresa.org
193,Mosqueda,Mosqueda,NWP Consulting,,,5,"Ensure that the page, or at least one of its frames contains a level-one heading",Page must contain a level-one heading,https://dequeuniversity.com/rules/axe/3.1/page-has-heading-one?application=axeAPI,page-has-heading-one,moderate,"['cat.semantics', 'best-practice']",teamteresa.org
194,Mosqueda,Mosqueda,NWP Consulting,,,6,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",teamteresa.org
195,Tsimerman,Tsimerman,,,,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']",AlexforAmerica.com
196,Tsimerman,Tsimerman,,,,2,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",AlexforAmerica.com
197,Tsimerman,Tsimerman,,,,3,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/3.1/heading-order?application=axeAPI,heading-order,moderate,"['cat.semantics', 'best-practice']",AlexforAmerica.com
198,Tsimerman,Tsimerman,,,,4,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",AlexforAmerica.com
199,Echner,Echner,,,,1,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",https://coreyeichner.com/
200,Echner,Echner,,,,2,Ensures every id attribute value is unique,id attribute value must be unique,https://dequeuniversity.com/rules/axe/3.1/duplicate-id?application=axeAPI,duplicate-id,minor,"['cat.parsing', 'wcag2a', 'wcag411']",https://coreyeichner.com/
201,Echner,Echner,,,,3,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/3.1/heading-order?application=axeAPI,heading-order,moderate,"['cat.semantics', 'best-practice']",https://coreyeichner.com/
202,Echner,Echner,,,,4,Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/3.1/link-name?application=axeAPI,link-name,serious,"['cat.name-role-value', 'wcag2a', 'wcag412', 'wcag244', 'section508', 'section508.22.a']",https://coreyeichner.com/
203,Echner,Echner,,,,5,"Ensure that the page, or at least one of its frames contains a level-one heading",Page must contain a level-one heading,https://dequeuniversity.com/rules/axe/3.1/page-has-heading-one?application=axeAPI,page-has-heading-one,moderate,"['cat.semantics', 'best-practice']",https://coreyeichner.com/
204,Gunther,Gunther,,,,1,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",https://www.xtiangunther.com/
205,Nelson,Nelson,,,,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']",https://www.saraforcitycouncil.com/issues
206,Nelson,Nelson,,,,2,"Ensure that the page, or at least one of its frames contains a level-one heading",Page must contain a level-one heading,https://dequeuniversity.com/rules/axe/3.1/page-has-heading-one?application=axeAPI,page-has-heading-one,moderate,"['cat.semantics', 'best-practice']",https://www.saraforcitycouncil.com/issues
207,Nelson,Nelson,,,,3,Ensures tabindex attribute values are not greater than 0,Elements should not have tabindex greater than zero,https://dequeuniversity.com/rules/axe/3.1/tabindex?application=axeAPI,tabindex,serious,"['cat.keyboard', 'best-practice']",https://www.saraforcitycouncil.com/issues
208,Oliver,Oliver,Mariahlyn Okuna,,,1,Ensures every id attribute value is unique,id attribute value must be unique,https://dequeuniversity.com/rules/axe/3.1/duplicate-id?application=axeAPI,duplicate-id,minor,"['cat.parsing', 'wcag2a', 'wcag411']",https://nikkitafornine.com/
209,Oliver,Oliver,Mariahlyn Okuna,,,2,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/3.1/heading-order?application=axeAPI,heading-order,moderate,"['cat.semantics', 'best-practice']",https://nikkitafornine.com/
210,Oliver,Oliver,Mariahlyn Okuna,,,3,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",https://nikkitafornine.com/
211,Thomas ,Thomas ,Upper Left,,,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']",peopleforbrianna.org
212,Thomas ,Thomas ,Upper Left,,,2,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/3.1/heading-order?application=axeAPI,heading-order,moderate,"['cat.semantics', 'best-practice']",peopleforbrianna.org
213,Thomas ,Thomas ,Upper Left,,,3,Ensures <img> elements have alternate text or a role of none or presentation,Images must have alternate text,https://dequeuniversity.com/rules/axe/3.1/image-alt?application=axeAPI,image-alt,critical,"['cat.text-alternatives', 'wcag2a', 'wcag111', 'section508', 'section508.22.a']",peopleforbrianna.org
214,Thomas ,Thomas ,Upper Left,,,4,Ensures every form element has a label,Form elements must have labels,https://dequeuniversity.com/rules/axe/3.1/label?application=axeAPI,label,critical,"['cat.forms', 'wcag2a', 'wcag332', 'wcag131', 'section508', 'section508.22.n']",peopleforbrianna.org
215,Thomas ,Thomas ,Upper Left,,,5,Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/3.1/link-name?application=axeAPI,link-name,serious,"['cat.name-role-value', 'wcag2a', 'wcag412', 'wcag244', 'section508', 'section508.22.a']",peopleforbrianna.org
216,Thomas ,Thomas ,Upper Left,,,6,Ensures tabindex attribute values are not greater than 0,Elements should not have tabindex greater than zero,https://dequeuniversity.com/rules/axe/3.1/tabindex?application=axeAPI,tabindex,serious,"['cat.keyboard', 'best-practice']",peopleforbrianna.org
